CRS_DEP_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_DATE,FL_NUM,ORIGIN,Weather,DAY_WEEK,DAY_OF_MONTH,MONTH_OF_YEAR,TAIL_NUM,Status
1715,DH,1712,LGA,229,01-02-2004,7215,IAD,0,5,2,Feb,N639BR,ontime
640,DH,645,LGA,229,01-02-2004,7790,IAD,0,5,2,Feb,N686BR,ontime
1039,DH,1236,LGA,229,01-02-2004,7792,IAD,0,5,2,Feb,N665BR,delayed
840,DH,859,JFK,228,01-02-2004,7800,IAD,0,5,2,Feb,N645BR,ontime
1240,DH,1232,JFK,228,01-02-2004,7806,IAD,0,5,2,Feb,N332UE,ontime
1455,DH,1455,JFK,228,01-02-2004,7808,IAD,0,5,2,Feb,N324UE,ontime
1645,DH,1645,JFK,228,01-02-2004,7810,IAD,0,5,2,Feb,N305UE,ontime
1715,DH,1716,JFK,228,01-02-2004,7812,IAD,0,5,2,Feb,N322UE,ontime
2120,DH,2305,JFK,228,01-02-2004,7814,IAD,0,5,2,Feb,N657BR,delayed
1610,DH,1605,JFK,228,01-02-2004,7816,IAD,0,5,2,Feb,N315UE,ontime
2120,DH,2118,LGA,229,01-02-2004,7924,IAD,0,5,2,Feb,N709BR,ontime
1455,DL,1458,JFK,213,01-02-2004,746,DCA,0,5,2,Feb,N964DL,ontime
930,DL,930,LGA,214,01-02-2004,1746,DCA,0,5,2,Feb,N241DL,ontime
1230,DL,1230,LGA,214,01-02-2004,1752,DCA,0,5,2,Feb,N225DL,ontime
1430,DL,1427,LGA,214,01-02-2004,1756,DCA,0,5,2,Feb,N241DL,ontime
1730,DL,1730,LGA,214,01-02-2004,1762,DCA,0,5,2,Feb,N225DL,ontime
2030,DL,2028,LGA,214,01-02-2004,1768,DCA,0,5,2,Feb,N241DL,ontime
1530,MQ,1522,JFK,213,01-02-2004,4752,DCA,0,5,2,Feb,N720MQ,ontime
600,MQ,552,JFK,213,01-02-2004,4760,DCA,0,5,2,Feb,N736MQ,ontime
1830,MQ,1847,JFK,213,01-02-2004,4784,DCA,0,5,2,Feb,N727MQ,ontime
900,MQ,852,LGA,214,01-02-2004,4956,DCA,0,5,2,Feb,N713MQ,ontime
1100,MQ,1053,LGA,214,01-02-2004,4960,DCA,0,5,2,Feb,N708MQ,ontime
1300,MQ,1258,LGA,214,01-02-2004,4964,DCA,0,5,2,Feb,N713MQ,ontime
1400,MQ,1402,LGA,214,01-02-2004,4966,DCA,0,5,2,Feb,N718MQ,ontime
1500,MQ,1456,LGA,214,01-02-2004,4968,DCA,0,5,2,Feb,N708MQ,ontime
850,UA,850,LGA,229,01-02-2004,846,IAD,0,5,2,Feb,N556UA,ontime
700,US,657,LGA,214,01-02-2004,2160,DCA,0,5,2,Feb,N710UW,ontime
900,US,857,LGA,214,01-02-2004,2164,DCA,0,5,2,Feb,N736UW,ontime
1100,US,1058,LGA,214,01-02-2004,2168,DCA,0,5,2,Feb,N710UW,ontime
1300,US,1258,LGA,214,01-02-2004,2172,DCA,0,5,2,Feb,N736UW,ontime
1500,US,1458,LGA,214,01-02-2004,2176,DCA,0,5,2,Feb,N710UW,ontime
1700,US,1655,LGA,214,01-02-2004,2180,DCA,0,5,2,Feb,N736UW,ontime
1900,US,1855,LGA,214,01-02-2004,2184,DCA,0,5,2,Feb,N710UW,ontime
2100,US,2056,LGA,214,01-02-2004,2188,DCA,0,5,2,Feb,N736UW,ontime
1720,RU,1715,EWR,169,01-02-2004,2675,BWI,0,5,2,Feb,N19966,ontime
1030,RU,1030,EWR,169,01-02-2004,2303,BWI,0,5,2,Feb,N12540,ontime
700,RU,656,EWR,169,01-02-2004,2703,BWI,0,5,2,Feb,N16961,ontime
1455,RU,1456,EWR,169,01-02-2004,2403,BWI,0,5,2,Feb,N12946,ontime
1730,CO,1727,EWR,199,01-02-2004,814,DCA,0,5,2,Feb,N14342,ontime
1300,CO,1301,EWR,199,01-02-2004,808,DCA,0,5,2,Feb,N14664,ontime
759,CO,754,EWR,199,01-02-2004,806,DCA,0,5,2,Feb,N11641,ontime
840,DH,837,EWR,213,01-02-2004,7299,IAD,0,5,2,Feb,N679BR,ontime
1245,DH,1350,EWR,213,01-02-2004,7303,IAD,0,5,2,Feb,N686BR,delayed
1430,DH,1512,EWR,213,01-02-2004,7307,IAD,0,5,2,Feb,N309UE,delayed
630,DH,629,EWR,213,01-02-2004,7371,IAD,0,5,2,Feb,N312UE,ontime
1630,RU,1625,EWR,199,01-02-2004,2181,DCA,0,5,2,Feb,N14977,ontime
700,RU,655,EWR,213,01-02-2004,2855,IAD,0,5,2,Feb,N13990,ontime
900,RU,858,EWR,199,01-02-2004,2582,DCA,0,5,2,Feb,N14907,ontime
700,RU,657,EWR,199,01-02-2004,2761,DCA,0,5,2,Feb,N13997,ontime
1700,RU,1650,EWR,213,01-02-2004,2497,IAD,0,5,2,Feb,N12528,ontime
1900,RU,1856,EWR,213,01-02-2004,2385,IAD,0,5,2,Feb,N11107,ontime
1300,RU,1253,EWR,213,01-02-2004,2692,IAD,0,5,2,Feb,N14505,ontime
900,RU,854,EWR,213,01-02-2004,3276,IAD,0,5,2,Feb,N16151,ontime
1900,RU,1858,EWR,199,01-02-2004,2336,DCA,0,5,2,Feb,N15985,ontime
2100,RU,2050,EWR,199,01-02-2004,2879,DCA,0,5,2,Feb,N17108,ontime
1400,RU,1358,EWR,199,01-02-2004,2216,DCA,0,5,2,Feb,N13118,ontime
1515,RU,1510,EWR,213,01-02-2004,2156,IAD,0,5,2,Feb,N11107,delayed
1525,RU,1519,EWR,199,01-02-2004,2261,DCA,0,5,2,Feb,N15574,ontime
1245,DH,1243,LGA,229,01-03-2004,7208,IAD,0,6,3,Mar,N688BR,ontime
1715,DH,1738,LGA,229,01-03-2004,7215,IAD,0,6,3,Mar,N639BR,ontime
640,DH,640,LGA,229,01-03-2004,7790,IAD,0,6,3,Mar,N696BR,ontime
1039,DH,1030,LGA,229,01-03-2004,7792,IAD,0,6,3,Mar,N696BR,ontime
840,DH,855,JFK,228,01-03-2004,7800,IAD,0,6,3,Mar,N709BR,ontime
1240,DH,1237,JFK,228,01-03-2004,7806,IAD,0,6,3,Mar,N327UE,ontime
1455,DH,1455,JFK,228,01-03-2004,7808,IAD,0,6,3,Mar,N309UE,ontime
1645,DH,1654,JFK,228,01-03-2004,7810,IAD,0,6,3,Mar,N311UE,ontime
1715,DH,1741,JFK,228,01-03-2004,7812,IAD,0,6,3,Mar,N327UE,ontime
2120,DH,2213,JFK,228,01-03-2004,7814,IAD,0,6,3,Mar,N655BR,delayed
1610,DH,1604,JFK,228,01-03-2004,7816,IAD,0,6,3,Mar,N329UE,ontime
2120,DH,2138,LGA,229,01-03-2004,7924,IAD,0,6,3,Mar,N688BR,ontime
1455,DL,1505,JFK,213,01-03-2004,746,DCA,0,6,3,Mar,N997DL,delayed
830,DL,828,LGA,214,01-03-2004,1744,DCA,0,6,3,Mar,N225DL,ontime
1030,DL,1030,LGA,214,01-03-2004,1748,DCA,0,6,3,Mar,N242DL,ontime
1230,DL,1230,LGA,214,01-03-2004,1752,DCA,0,6,3,Mar,N225DL,ontime
1430,DL,1428,LGA,214,01-03-2004,1756,DCA,0,6,3,Mar,N242DL,ontime
1630,DL,1629,LGA,214,01-03-2004,1760,DCA,0,6,3,Mar,N225DL,ontime
1830,DL,1829,LGA,214,01-03-2004,1764,DCA,0,6,3,Mar,N242DL,ontime
2030,DL,2024,LGA,214,01-03-2004,1768,DCA,0,6,3,Mar,N225DL,ontime
1530,MQ,1600,JFK,213,01-03-2004,4752,DCA,0,6,3,Mar,N734MQ,delayed
600,MQ,555,JFK,213,01-03-2004,4760,DCA,0,6,3,Mar,N712MQ,ontime
1830,MQ,1829,JFK,213,01-03-2004,4784,DCA,0,6,3,Mar,N709MQ,ontime
900,MQ,855,LGA,214,01-03-2004,4956,DCA,0,6,3,Mar,N739MQ,ontime
1300,MQ,1254,LGA,214,01-03-2004,4964,DCA,0,6,3,Mar,N739MQ,ontime
850,UA,849,LGA,229,01-03-2004,846,IAD,0,6,3,Mar,N567UA,ontime
700,US,655,LGA,214,01-03-2004,2160,DCA,0,6,3,Mar,N760UW,ontime
900,US,858,LGA,214,01-03-2004,2164,DCA,0,6,3,Mar,N710UW,ontime
1100,US,1059,LGA,214,01-03-2004,2168,DCA,0,6,3,Mar,N760UW,ontime
1300,US,1256,LGA,214,01-03-2004,2172,DCA,0,6,3,Mar,N710UW,ontime
1500,US,1500,LGA,214,01-03-2004,2176,DCA,0,6,3,Mar,N760UW,ontime
1700,US,1658,LGA,214,01-03-2004,2180,DCA,0,6,3,Mar,N710UW,ontime
1900,US,1857,LGA,214,01-03-2004,2184,DCA,0,6,3,Mar,N760UW,ontime
1720,RU,1714,EWR,169,01-03-2004,2675,BWI,0,6,3,Mar,N15574,ontime
700,RU,655,EWR,169,01-03-2004,2703,BWI,0,6,3,Mar,N11536,ontime
1030,RU,1026,EWR,169,01-03-2004,2303,BWI,0,6,3,Mar,N14907,ontime
1455,RU,1448,EWR,169,01-03-2004,2267,BWI,0,6,3,Mar,N14974,ontime
1300,CO,1255,EWR,199,01-03-2004,808,DCA,0,6,3,Mar,N11612,ontime
840,DH,857,EWR,213,01-03-2004,7299,IAD,0,6,3,Mar,N693BR,delayed
1710,DH,1705,EWR,213,01-03-2004,7302,IAD,0,6,3,Mar,N693BR,ontime
1245,DH,1329,EWR,213,01-03-2004,7303,IAD,0,6,3,Mar,N672BR,delayed
2120,DH,2126,EWR,213,01-03-2004,7304,IAD,0,6,3,Mar,N643BR,ontime
630,DH,625,EWR,213,01-03-2004,7371,IAD,0,6,3,Mar,N333UE,ontime
1725,RU,1722,EWR,213,01-03-2004,2497,IAD,0,6,3,Mar,N17146,ontime
1400,RU,1356,EWR,199,01-03-2004,2216,DCA,0,6,3,Mar,N17513,ontime
700,RU,658,EWR,213,01-03-2004,2855,IAD,0,6,3,Mar,N14925,ontime
930,RU,941,EWR,199,01-03-2004,2582,DCA,0,6,3,Mar,N14977,ontime
1730,RU,1738,EWR,199,01-03-2004,2097,DCA,0,6,3,Mar,N14998,ontime
1600,RU,1556,EWR,199,01-03-2004,2181,DCA,0,6,3,Mar,N13955,ontime
1515,RU,1511,EWR,213,01-03-2004,2156,IAD,0,6,3,Mar,N12136,ontime
700,RU,703,EWR,199,01-03-2004,2761,DCA,0,6,3,Mar,N14907,ontime
1455,OH,1605,JFK,184,01-04-2004,5935,BWI,0,7,4,Apr,N973CA,delayed
1640,DH,1644,JFK,213,01-04-2004,6155,DCA,0,7,4,Apr,N424FJ,ontime
1245,DH,1249,LGA,229,01-04-2004,7208,IAD,0,7,4,Apr,N632BR,ontime
1455,DH,1535,LGA,229,01-04-2004,7211,IAD,0,7,4,Apr,N654BR,delayed
1715,DH,1837,LGA,229,01-04-2004,7215,IAD,0,7,4,Apr,N634BR,delayed
640,DH,640,LGA,229,01-04-2004,7790,IAD,0,7,4,Apr,N654BR,ontime
1039,DH,1032,LGA,229,01-04-2004,7792,IAD,0,7,4,Apr,N654BR,ontime
840,DH,900,JFK,228,01-04-2004,7800,IAD,0,7,4,Apr,N673BR,ontime
1240,DH,1243,JFK,228,01-04-2004,7806,IAD,0,7,4,Apr,N330UE,ontime
1455,DH,1504,JFK,228,01-04-2004,7808,IAD,0,7,4,Apr,N314UE,ontime
1645,DH,1642,JFK,228,01-04-2004,7810,IAD,0,7,4,Apr,N313UE,ontime
1715,DH,1709,JFK,228,01-04-2004,7812,IAD,0,7,4,Apr,N312UE,ontime
2120,DH,2120,JFK,228,01-04-2004,7814,IAD,0,7,4,Apr,N626BR,ontime
1610,DH,1607,JFK,228,01-04-2004,7816,IAD,0,7,4,Apr,N327UE,ontime
2120,DH,2116,LGA,229,01-04-2004,7924,IAD,0,7,4,Apr,N674BR,ontime
1455,DL,1500,JFK,213,01-04-2004,746,DCA,0,7,4,Apr,N912DL,ontime
830,DL,828,LGA,214,01-04-2004,1744,DCA,0,7,4,Apr,N242DL,ontime
1030,DL,1028,LGA,214,01-04-2004,1748,DCA,0,7,4,Apr,N221DL,ontime
1230,DL,1230,LGA,214,01-04-2004,1752,DCA,0,7,4,Apr,N242DL,ontime
1430,DL,1432,LGA,214,01-04-2004,1756,DCA,0,7,4,Apr,N221DL,ontime
1630,DL,1629,LGA,214,01-04-2004,1760,DCA,0,7,4,Apr,N242DL,ontime
1830,DL,1832,LGA,214,01-04-2004,1764,DCA,0,7,4,Apr,N221DL,ontime
2030,DL,2030,LGA,214,01-04-2004,1768,DCA,0,7,4,Apr,N242DL,ontime
1530,MQ,1534,JFK,213,01-04-2004,4752,DCA,0,7,4,Apr,N712MQ,delayed
600,MQ,554,JFK,213,01-04-2004,4760,DCA,0,7,4,Apr,N737MQ,ontime
730,MQ,745,JFK,213,01-04-2004,4771,DCA,0,7,4,Apr,N719MQ,ontime
1830,MQ,1858,JFK,213,01-04-2004,4784,DCA,0,7,4,Apr,N727MQ,delayed
1300,MQ,1257,LGA,214,01-04-2004,4964,DCA,0,7,4,Apr,N737MQ,ontime
1500,MQ,1458,LGA,214,01-04-2004,4968,DCA,0,7,4,Apr,N727MQ,delayed
1700,MQ,1659,LGA,214,01-04-2004,4972,DCA,0,7,4,Apr,N708MQ,ontime
1900,MQ,1936,LGA,214,01-04-2004,4976,DCA,0,7,4,Apr,N719MQ,delayed
850,UA,849,LGA,229,01-04-2004,846,IAD,0,7,4,Apr,N559UA,ontime
900,US,858,LGA,214,01-04-2004,2164,DCA,0,7,4,Apr,N730UW,ontime
1000,US,954,LGA,214,01-04-2004,2166,DCA,0,7,4,Apr,N765UW,ontime
1100,US,1055,LGA,214,01-04-2004,2168,DCA,0,7,4,Apr,N746UW,ontime
1200,US,1158,LGA,214,01-04-2004,2170,DCA,0,7,4,Apr,N711UW,ontime
1300,US,1257,LGA,214,01-04-2004,2172,DCA,0,7,4,Apr,N730UW,ontime
1400,US,1359,LGA,214,01-04-2004,2174,DCA,0,7,4,Apr,N765UW,ontime
1500,US,1456,LGA,214,01-04-2004,2176,DCA,0,7,4,Apr,N746UW,ontime
1600,US,1559,LGA,214,01-04-2004,2178,DCA,0,7,4,Apr,N711UW,ontime
1700,US,1658,LGA,214,01-04-2004,2180,DCA,0,7,4,Apr,N730UW,ontime
1800,US,1758,LGA,214,01-04-2004,2182,DCA,0,7,4,Apr,N765UW,ontime
1900,US,1857,LGA,214,01-04-2004,2184,DCA,0,7,4,Apr,N746UW,ontime
2000,US,1957,LGA,214,01-04-2004,2186,DCA,0,7,4,Apr,N711UW,ontime
2100,US,2059,LGA,214,01-04-2004,2188,DCA,0,7,4,Apr,N730UW,ontime
1455,RU,1615,EWR,169,01-04-2004,2403,BWI,0,7,4,Apr,N14943,delayed
1315,RU,1416,EWR,169,01-04-2004,2703,BWI,0,7,4,Apr,N13949,delayed
1605,RU,2030,EWR,169,01-04-2004,2603,BWI,0,7,4,Apr,N14933,delayed
1030,RU,1235,EWR,169,01-04-2004,2303,BWI,0,7,4,Apr,N19966,delayed
1300,CO,1255,EWR,199,01-04-2004,808,DCA,0,7,4,Apr,N59630,ontime
1630,CO,1833,EWR,199,01-04-2004,810,DCA,0,7,4,Apr,N16649,delayed
840,DH,857,EWR,213,01-04-2004,7299,IAD,0,7,4,Apr,N640BR,ontime
1710,DH,1917,EWR,213,01-04-2004,7302,IAD,0,7,4,Apr,N697BR,delayed
1245,DH,1310,EWR,213,01-04-2004,7303,IAD,0,7,4,Apr,N638BR,delayed
2120,DH,2221,EWR,213,01-04-2004,7304,IAD,0,7,4,Apr,N697BR,delayed
1430,DH,1600,EWR,213,01-04-2004,7307,IAD,0,7,4,Apr,N328UE,delayed
1730,RU,1952,EWR,199,01-04-2004,2097,DCA,0,7,4,Apr,N12136,delayed
930,RU,927,EWR,199,01-04-2004,2582,DCA,0,7,4,Apr,N13992,ontime
900,RU,858,EWR,213,01-04-2004,3276,IAD,0,7,4,Apr,N15985,ontime
1900,RU,2110,EWR,213,01-04-2004,2385,IAD,0,7,4,Apr,N24128,delayed
1400,RU,1356,EWR,199,01-04-2004,2216,DCA,0,7,4,Apr,N16987,delayed
1900,RU,2120,EWR,199,01-04-2004,2336,DCA,0,7,4,Apr,N12569,delayed
1515,RU,1557,EWR,213,01-04-2004,2156,IAD,0,7,4,Apr,N18101,delayed
1455,OH,1610,JFK,184,01-05-2004,5935,BWI,0,1,5,May,N814CA,delayed
1640,DH,1638,JFK,213,01-05-2004,6155,DCA,0,1,5,May,N424FJ,delayed
1245,DH,1338,LGA,229,01-05-2004,7208,IAD,0,1,5,May,N674BR,delayed
1455,DH,1606,LGA,229,01-05-2004,7211,IAD,0,1,5,May,N643BR,delayed
1715,DH,1848,LGA,229,01-05-2004,7215,IAD,0,1,5,May,N649BR,delayed
640,DH,633,LGA,229,01-05-2004,7790,IAD,0,1,5,May,N643BR,delayed
1039,DH,1054,LGA,229,01-05-2004,7792,IAD,0,1,5,May,N643BR,ontime
840,DH,946,JFK,228,01-05-2004,7800,IAD,0,1,5,May,N651BR,delayed
1240,DH,1312,JFK,228,01-05-2004,7806,IAD,0,1,5,May,N305UE,delayed
1645,DH,1700,JFK,228,01-05-2004,7810,IAD,0,1,5,May,N331UE,ontime
1715,DH,1709,JFK,228,01-05-2004,7812,IAD,0,1,5,May,N332UE,ontime
2120,DH,2200,JFK,228,01-05-2004,7814,IAD,0,1,5,May,N683BR,delayed
1610,DH,1651,JFK,228,01-05-2004,7816,IAD,0,1,5,May,N303UE,delayed
2120,DH,2125,LGA,229,01-05-2004,7924,IAD,0,1,5,May,N699BR,ontime
1455,DL,1459,JFK,213,01-05-2004,746,DCA,0,1,5,May,N994DL,ontime
630,DL,630,LGA,214,01-05-2004,1740,DCA,0,1,5,May,N221DL,ontime
730,DL,734,LGA,214,01-05-2004,1742,DCA,0,1,5,May,N241DL,ontime
830,DL,830,LGA,214,01-05-2004,1744,DCA,0,1,5,May,N242DL,ontime
930,DL,932,LGA,214,01-05-2004,1746,DCA,0,1,5,May,N225DL,ontime
1030,DL,1031,LGA,214,01-05-2004,1748,DCA,0,1,5,May,N223DZ,ontime
1130,DL,1128,LGA,214,01-05-2004,1750,DCA,0,1,5,May,N241DL,ontime
1230,DL,1230,LGA,214,01-05-2004,1752,DCA,0,1,5,May,N242DL,ontime
1330,DL,1329,LGA,214,01-05-2004,1754,DCA,0,1,5,May,N225DL,ontime
1430,DL,1427,LGA,214,01-05-2004,1756,DCA,0,1,5,May,N223DZ,ontime
1630,DL,1635,LGA,214,01-05-2004,1760,DCA,0,1,5,May,N242DL,ontime
1730,DL,1730,LGA,214,01-05-2004,1762,DCA,0,1,5,May,N225DL,ontime
1830,DL,1829,LGA,214,01-05-2004,1764,DCA,0,1,5,May,N223DZ,ontime
1930,DL,1955,LGA,214,01-05-2004,1766,DCA,0,1,5,May,N241DL,delayed
2030,DL,2028,LGA,214,01-05-2004,1768,DCA,0,1,5,May,N242DL,ontime
1530,MQ,1538,JFK,213,01-05-2004,4752,DCA,0,1,5,May,N704MQ,ontime
600,MQ,557,JFK,213,01-05-2004,4760,DCA,0,1,5,May,N707MQ,ontime
700,MQ,656,LGA,214,01-05-2004,4952,DCA,0,1,5,May,N712MQ,ontime
800,MQ,758,LGA,214,01-05-2004,4954,DCA,0,1,5,May,N724MQ,ontime
900,MQ,859,LGA,214,01-05-2004,4956,DCA,0,1,5,May,N719MQ,ontime
1100,MQ,1103,LGA,214,01-05-2004,4960,DCA,0,1,5,May,N706MQ,ontime
1300,MQ,1250,LGA,214,01-05-2004,4964,DCA,0,1,5,May,N716MQ,ontime
1600,MQ,1627,LGA,214,01-05-2004,4970,DCA,0,1,5,May,N700MQ,delayed
1700,MQ,1702,LGA,214,01-05-2004,4972,DCA,0,1,5,May,N724MQ,ontime
1900,MQ,1949,LGA,214,01-05-2004,4976,DCA,0,1,5,May,N846MQ,delayed
850,UA,848,LGA,229,01-05-2004,846,IAD,0,1,5,May,N516UA,ontime
630,US,627,LGA,214,01-05-2004,1479,DCA,0,1,5,May,N765UW,delayed
700,US,657,LGA,214,01-05-2004,2160,DCA,0,1,5,May,N762UW,ontime
800,US,757,LGA,214,01-05-2004,2162,DCA,0,1,5,May,N750UW,ontime
900,US,900,LGA,214,01-05-2004,2164,DCA,0,1,5,May,N733UW,ontime
1000,US,958,LGA,214,01-05-2004,2166,DCA,0,1,5,May,N767UW,ontime
1100,US,1057,LGA,214,01-05-2004,2168,DCA,0,1,5,May,N762UW,ontime
1200,US,1155,LGA,214,01-05-2004,2170,DCA,0,1,5,May,N750UW,ontime
1300,US,1257,LGA,214,01-05-2004,2172,DCA,0,1,5,May,N733UW,ontime
1400,US,1358,LGA,214,01-05-2004,2174,DCA,0,1,5,May,N767UW,ontime
1500,US,1500,LGA,214,01-05-2004,2176,DCA,0,1,5,May,N762UW,ontime
1600,US,1601,LGA,214,01-05-2004,2178,DCA,0,1,5,May,N750UW,ontime
1700,US,1657,LGA,214,01-05-2004,2180,DCA,0,1,5,May,N733UW,ontime
1800,US,1757,LGA,214,01-05-2004,2182,DCA,0,1,5,May,N767UW,ontime
1900,US,1857,LGA,214,01-05-2004,2184,DCA,0,1,5,May,N762UW,ontime
2000,US,1959,LGA,214,01-05-2004,2186,DCA,0,1,5,May,N750UW,ontime
2100,US,2100,LGA,214,01-05-2004,2188,DCA,0,1,5,May,N733UW,ontime
700,RU,744,EWR,169,01-05-2004,2703,BWI,0,1,5,May,N14923,delayed
1455,RU,1527,EWR,169,01-05-2004,2403,BWI,0,1,5,May,N12946,delayed
1030,RU,1221,EWR,169,01-05-2004,2303,BWI,0,1,5,May,N16951,delayed
1300,CO,1324,EWR,199,01-05-2004,808,DCA,0,1,5,May,N14628,delayed
759,CO,757,EWR,199,01-05-2004,806,DCA,0,1,5,May,N14654,ontime
1730,CO,1846,EWR,199,01-05-2004,814,DCA,0,1,5,May,N14341,delayed
840,DH,844,EWR,213,01-05-2004,7299,IAD,0,1,5,May,N622BR,ontime
1710,DH,1920,EWR,213,01-05-2004,7302,IAD,0,1,5,May,N697BR,delayed
1245,DH,1357,EWR,213,01-05-2004,7303,IAD,0,1,5,May,N664BR,delayed
2120,DH,2312,EWR,213,01-05-2004,7304,IAD,0,1,5,May,N667BR,delayed
1430,DH,1536,EWR,213,01-05-2004,7307,IAD,0,1,5,May,N320UE,delayed
